Table 8,,,,,,,,,,,
NEW HAMPSHIRE,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2017",,,,,,,,,,,
State,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Alexandria,"1,620",0,0,0,0,0,13,6,7,0,0
Alstead,"1,893",1,1,0,0,0,2,2,0,0,0
Alton,"5,334",12,0,6,0,6,55,15,38,2,0
Amherst,"11,250",5,0,4,0,1,101,12,85,4,0
Antrim,"2,660",2,0,2,0,0,28,6,20,2,1
Ashland,"2,056",5,0,2,2,1,60,12,44,4,0
Atkinson,"6,876",1,0,0,0,1,28,5,22,1,0
Auburn,"5,449",1,0,1,0,0,39,7,31,1,0
Barnstead,"4,667",7,0,2,0,5,65,15,43,7,0
Barrington,"8,981",6,0,0,0,6,45,15,29,1,0
Bartlett,"2,755",3,0,0,1,2,23,6,16,1,0
Bedford,"22,623",12,0,2,1,9,243,15,221,7,2
Belmont,"7,293",14,0,3,1,10,139,22,107,10,4
Bennington,"1,485",5,0,2,0,3,10,1,8,1,0
Berlin,"10,489",25,0,7,1,17,140,20,118,2,4
Bethlehem,"2,560",11,0,4,0,7,15,3,11,1,1
Boscawen,"3,977",9,0,2,0,7,49,1,46,2,0
Bow,"7,820",4,0,0,0,4,32,10,19,3,0
Bradford,"1,678",2,0,1,1,0,3,1,2,0,0
Brentwood,"4,743",2,0,1,0,1,23,3,17,3,0
Bristol,"3,057",7,0,4,2,1,46,4,39,3,0
Brookline,"5,304",3,0,0,0,3,15,4,11,0,0
Campton,"3,286",11,0,6,1,4,52,8,41,3,0
Candia,"3,903",1,0,0,1,0,26,3,19,4,1
Canterbury,"2,416",0,0,0,0,0,31,2,27,2,0
Carroll,741,1,0,1,0,0,17,3,13,1,0
Center Harbor,"1,098",0,0,0,0,0,18,9,9,0,0
Charlestown,"4,971",17,0,0,2,15,26,4,21,1,0
Chester,"5,068",3,0,0,0,3,35,10,24,1,0
Claremont,"12,893",33,0,12,5,16,269,33,229,7,4
Colebrook,"2,147",1,0,1,0,0,25,3,20,2,0
Concord,"42,942",119,1,37,23,58,824,135,655,34,6
Conway,"9,946",25,0,9,0,16,224,19,196,9,1
Cornish,"1,612",0,0,0,0,0,5,1,2,2,0
Dalton,882,0,0,0,0,0,2,2,0,0,0
Danville,"4,471",4,0,1,0,3,28,3,24,1,0
Deerfield,"4,465",4,0,1,0,3,21,6,9,6,0
Deering,"1,933",2,0,0,0,2,18,7,9,2,0
Derry,"33,382",38,0,7,5,26,364,40,305,19,6
Dover,"31,344",35,0,15,5,15,319,29,280,10,3
Dublin,"1,522",4,0,3,0,1,14,7,7,0,0
Dunbarton,"2,808",2,0,1,0,1,26,5,19,2,0
