Table 8,,,,,,,,,,,
MASSACHUSETTS,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2017",,,,,,,,,,,
State,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Abington,"16,369",33,0,4,6,23,158,26,120,12,0
Acton,"23,937",23,0,1,1,21,170,33,134,3,1
Acushnet,"10,547",32,0,4,3,25,101,28,62,11,0
Adams,"8,051",20,0,10,1,9,114,46,60,8,0
Agawam,"28,839",66,0,3,9,54,519,178,313,28,3
Amesbury,"17,636",50,0,6,0,44,120,12,105,3,0
Amherst,"40,313",100,0,20,3,77,263,54,203,6,3
Andover,"35,898",72,0,5,3,64,287,25,239,23,1
Arlington,"45,449",38,0,7,7,24,257,80,162,15,0
Ashburnham,"6,255",7,0,1,1,5,50,9,40,1,0
Ashland,"17,878",18,0,4,1,13,92,11,73,8,1
Athol,"11,630",58,0,6,3,49,202,47,150,5,2
Attleboro,"44,607",120,1,17,18,84,593,118,457,18,1
Auburn,"16,563",41,0,4,2,35,347,33,301,13,3
Avon,"4,560",5,0,0,2,3,60,7,49,4,
Ayer,"8,240",23,0,1,3,19,81,20,59,2,0
Barnstable,"44,142",197,1,18,13,165,547,79,446,22,4
Bedford,"14,607",9,0,1,4,4,59,9,47,3,0
Belchertown,"15,097",25,0,5,2,18,91,23,65,3,0
Bellingham,"17,121",28,0,4,3,21,263,17,238,8,0
Belmont,"26,432",12,0,4,3,5,210,85,116,9,0
Berkley,"6,745",12,0,5,2,5,40,9,26,5,0
Berlin,"3,175",3,0,0,1,2,45,3,38,4,0
Bernardston,"2,082",1,0,1,0,0,28,8,20,0,0
Beverly,"41,678",48,0,6,6,36,235,25,202,8,0
Billerica,"43,127",40,1,5,8,26,244,52,177,15,2
Blackstone,"9,079",13,0,1,1,11,59,11,46,2,0
Bolton,"5,272",5,0,0,1,4,36,5,29,2,0
Boston,"682,903","4,570",57,290,"1,404","2,819","14,266","2,109","10,952","1,205",
Bourne,"19,867",41,0,4,5,32,262,103,149,10,1
Boxborough,"5,972",18,0,3,0,15,24,3,18,3,0
Boxford,"8,333",0,0,0,0,0,22,1,21,0,0
Boylston,"4,610",2,0,0,0,2,16,1,14,1,0
Braintree,"37,579",48,0,2,5,41,665,45,584,36,0
Brewster,"9,895",22,0,14,0,8,98,22,76,0,0
Bridgewater,"27,769",78,0,11,2,65,155,20,120,15,0
